courseID	courseName	credits	subject	term	eligibleGrades	prerequisite	corequisite	enrollmentNotes	description	isElective	courseType
AR103G	STUDIO ART 1	0.5	Art	Fall Semester	9th, 10th, 11th, 12th	N/A	N/A	N/A	Students will explore the visual arts. Media may include drawing, painting, clay, sculpture, and mixed media. This beginning level art course emphasizes creative individual solutions, conceptual thinking, and the development of design aesthetics while providing hands-on experience in a variety of media. Please contact the school's art department teachers for additional information.	Yes	Normal
AR104G	STUDIO ART 1	0.5	Art	Spring Semester	9th, 10th, 11th, 12th	N/A	N/A	N/A	Students will explore the visual arts. Media may include drawing, painting, clay, sculpture, and mixed media. This beginning level art course emphasizes creative individual solutions, conceptual thinking, and the development of design aesthetics while providing hands-on experience in a variety of media. Please contact the school's art department teachers for additional information.	Yes	Normal
AR105G	VISUAL ART AND TECHNOLOGY	0.5	Art	Fall Semester	9th, 10th, 11th, 12th	N/A	N/A	None	This course meets the Computer Education requirement for graduation. Set yourself apart by becoming creative problem-solvers and explore current digital technology. Many new and existing professions combine studio art skills and digital media. Students will use a combination of digital technology and creative art making to explore their world, identity, possible careers, and future.	Yes	Normal
AR106G	VISUAL ART AND TECHNOLOGY	0.5	Art	Spring Semester	9th, 10th, 11th, 12th	N/A	N/A	N/A	This course meets the Computer Education requirement for graduation. Set yourself apart by becoming creative problem-solvers and explore current digital technology. Many new and existing professions combine studio art skills and digital media. Students will use a combination of digital technology and creative art making to explore their world, identity, possible careers, and future.	Yes	Normal
AR108G	DIGITAL ILLUSTRATION	0.5	Art	Spring Semester	9th, 10th, 11th, 12th	N/A	N/A	N/A	Digital illustration is a semester-long, project-based course that focuses on developing drawing skills through digital means. While students will study the work of other artists, they will be expected to create their own authentic work. An emphasis will be placed on communicating through visual storytelling using current digital technologies.	Yes	Normal
AR201G	STUDIO ART 2	0.5	Art	Fall Semester	9th, 10th, 11th, 12th	Successful completion of one semester of Studio Art 1	N/A	N/A	Students will explore the visual arts. Media may include drawing, painting, clay, sculpture, and mixed media. This intermediate course emphasizes creative individual solutions, conceptual thinking, and the development of design aesthetics while providing hands-on experience in a variety of media.	Yes	Normal
AR202G	STUDIO ART 2	0.5	Art	Spring Semester	9th, 10th, 11th, 12th	Success completion of Studio Art 1 or permission from the instructor	N/A	N/A	Students will explore the visual arts. Media may include drawing, painting, clay, sculpture, and mixed media. This intermediate course emphasizes creative individual solutions, conceptual thinking, and the development of design aesthetics while providing hands-on experience in a variety of media.	Yes	Normal
AR205G	ART AND DESIGN I	0.5	Art	Fall Semester	9th, 10th, 11th, 12th	Successful completion of Visual Art and Technology	N/A	N/A	Art is everywhere! Posters, t-shirts, album art, logos, and websites are just a few examples of design that influences us. In this course, students will use current digital technology to transform artistic ideas into persuasive visual communication.	Yes	Normal
AR206G	ART AND DESIGN I	0.5	Art	Spring Semester	9th, 10th, 11th, 12th	Successful completion of Visual Art and Technology	N/A	N/A	Art is everywhere! Posters, t-shirts, album art, logos, and websites are just a few examples of design that influences us. In this course, students will use current digital technology to transform artistic ideas into persuasive visual communication.	Yes	Normal
AR207G	PHOTOGRAPHIC IMAGING I	0.5	Art	Fall Semester	9th, 10th, 11th, 12th	Successful completion of Visual Art and Technology	N/A	N/A	If a picture is worth 1,000 words, then what do you want to say? In Photographic Imaging I, students will examine how artists compose and manipulate images and utilize a variety of technologies to communicate ideas.	Yes	Normal
